"trade_date","country","beta","size","momentum","book_to_price","residual_volatility","liquidity","profitability","investment_quality"
"2008-01-28",-0.070361,-0.005747,0.003584,-0.003771,0.000152,0.003381,-0.006393,0.00101,0.000357
"2008-01-29",0.010439,0.002543,-0.003858,-0.001872,0.004527,0.000067,0.001752,-0.000652,-0.000383
"2008-01-30",-0.003223,0.003766,-0.00532,-0.000435,-0.000415,0.000806,0.000327,0.001049,0.000055
"2008-01-31",-0.025355,0.003012,-0.000052,0.004871,0.001,-0.004784,-0.00597,-0.000728,-0.000929
"2008-02-01",-0.022289,-0.001065,0.004953,0.004828,0.000825,-0.003156,-0.005875,0.000543,-0.00031
"2008-02-04",0.084219,0.003758,-0.000067,0.000623,0.000709,0.001978,0.003467,0.000203,-0.000523
"2008-02-05",-0.002688,0.001622,-0.000031,0.001956,0.001018,0.002,0.003508,-0.000408,-0.000048
"2008-02-13",-0.015806,-0.000813,-0.004579,-0.001871,0.000268,0.002016,-0.001279,-0.001154,0.001357
"2008-02-14",0.015689,0.00074,-0.003143,0.001399,0.000245,-0.001018,0.002883,0.000152,-0.000342
"2008-02-15",-0.011168,-0.001353,-0.00252,0.000125,-0.000248,-0.000666,0.000896,0.000738,-0.000988
"2008-02-18",0.024044,-0.000767,-0.004216,0.001052,-0.000803,0.000057,0.001486,-0.000225,-0.001331
"2008-02-19",0.021757,0.002876,-0.001691,0.001297,-0.001422,0.000645,0.001181,-0.000015,0.000275
"2008-02-20",-0.017588,0.000235,-0.002687,0.000447,-0.000103,0.001281,0.001101,0.001233,0.00019
"2008-02-21",-0.000576,-0.000957,-0.006701,0.001172,0.000373,-0.00221,0.0021,-0.000104,-0.000529
"2008-02-22",-0.031279,-0.001272,-0.001521,-0.00167,-0.00142,-0.002119,-0.000713,0.001475,0.000349
"2008-02-25",-0.036638,-0.003488,-0.000668,-0.001882,0.001145,-0.000378,-0.000899,-0.001142,-0.000554
"2008-02-26",0.000826,0.004417,-0.001164,-0.004947,0.003335,0.001928,0.001519,-0.002786,0.000445
"2008-02-27",0.026206,0.002294,-0.000845,0.001064,-0.000054,-0.000643,0.001195,-0.00058,0.000328
"2008-02-28",-0.001794,0.000431,-0.00337,-0.000648,-0.00106,0.000639,0.000434,0.000467,-0.001466
"2008-02-29",0.012832,-0.000516,-0.001541,-0.000244,-0.000436,0.001665,0.00144,0.000468,-0.000128
"2008-03-03",0.027041,0.00006,-0.003757,0.004375,-0.001537,-0.002404,0.004597,0.000579,-0.001663
"2008-03-04",-0.01999,-0.001559,-0.002604,-0.00088,-0.000278,-0.001694,0.001072,-0.001542,0.001369
"2008-03-05",-0.004522,0.00001,-0.005955,-0.002237,0.000412,0.00057,0.004373,-0.001204,-0.000518
"2008-03-06",0.008445,0.002993,0.00125,-0.000948,0.001509,0.000286,-0.004878,-0.000033,0.001515
"2008-03-07",-0.015988,0.001238,0.000946,-0.001674,-0.001448,0.002808,-0.004014,-0.000775,-0.00012
"2008-03-10",-0.038815,-0.001204,-0.002477,-0.001086,0.000514,-0.000707,0.002084,0.000358,-0.001565
"2008-03-11",0.003882,-0.000635,-0.003703,-0.00135,0.000825,-0.000425,0.004979,-0.00113,0.001553
"2008-03-12",-0.030024,-0.001858,-0.001924,-0.001484,-0.000594,-0.000812,-0.001606,0.000479,0.000659
"2008-03-13",-0.033098,-0.003833,-0.000247,-0.000724,-0.000564,-0.003433,-0.004527,-0.001306,-0.000712
"2008-03-14",-0.009565,0.000444,-0.000868,-0.000855,0.003269,0.0017,0.000591,0.003635,-0.000969
"2008-03-17",-0.059344,-0.002963,0.004826,0.000317,0.001554,0.001437,-0.008125,0.001802,-0.000439
"2008-03-18",-0.062273,-0.005437,0.001486,0.002281,0.00032,-0.000578,-0.001927,0.000154,0.000795
"2008-03-19",0.036906,-0.001165,-0.003331,0.001098,-0.000682,0.00024,0.007646,-0.002082,-0.000232
"2008-03-20",0.033915,-0.001233,-0.001481,0.00203,-0.001473,0.000091,0.00587,-0.002851,-0.001213
"2008-03-21",0.009965,0.002036,-0.001508,0.000259,0.000299,-0.000223,0.00222,-0.000575,-0.000238
"2008-03-24",-0.037828,-0.003092,-0.00463,0.001535,-0.001858,-0.003137,0.004221,0.000002,0.000598
"2008-03-25",0.016046,0.000874,-0.001752,-0.000814,-0.001001,-0.001236,0.002817,-0.002622,-0.000287
"2008-03-26",0.000272,0.001345,-0.00235,0.001493,0.001249,0.001819,-0.004089,0.000743,0.000535
"2008-03-27",-0.044219,-0.004324,0.00024,0.000726,0.001137,0.000878,-0.008929,0.002073,0.000644
"2008-03-28",0.042912,0.003869,0.003229,-0.00345,-0.000208,0.001632,0.002703,0.001319,-0.001385
"2008-03-31",-0.036228,-0.000752,0.005219,-0.003692,-0.001924,-0.002622,-0.004671,0.001863,0.000481
"2008-04-01",-0.064775,-0.00432,0.004961,-0.000408,-0.000384,0.001134,-0.001682,0.003065,0.000959
"2008-04-02",-0.01946,-0.002813,0.013013,-0.001712,0.002073,-0.001956,-0.005456,0.001957,-0.000493
"2008-04-03",0.028683,0.003019,0.001718,0.001526,0.002284,-0.001299,0.001339,0.000661,-0.000778
"2008-04-07",0.057975,0.005084,0.000201,0.00101,0.000249,0.003791,-0.00117,0.000047,-0.000513
"2008-04-08",0.015685,0.004035,-0.00102,-0.001843,-0.000886,0.006679,-0.000326,0.001556,0.000152
"2008-04-09",-0.05513,-0.000843,0.004001,0.004669,0.003307,-0.001596,-0.009538,0.002818,-0.000521
"2008-04-10",0.022123,0.003827,-0.001502,0.001881,0.001759,0.003806,0.004664,0.000926,-0.000511
"2008-04-11",0.008562,0.000262,-0.005322,-0.002177,-0.001152,0.000113,0.001022,0.000314,0.001065
"2008-04-14",-0.066864,-0.006378,0.001342,0.001588,-0.002092,-0.003834,-0.001647,0.000997,0.000077
"2008-04-15",0.019744,0.004022,-0.003838,0.002179,0.003593,0.001657,0.008185,0.002274,-0.000453
"2008-04-16",-0.025865,-0.003262,-0.002547,0.002849,0.000782,-0.00334,-0.002756,0.001256,-0.00081
"2008-04-17",-0.032786,-0.003882,-0.000174,0.00312,0.002296,-0.000814,0.00221,0.003863,-0.000201
"2008-04-18",-0.040762,-0.005156,0.004071,0.002985,0.001993,0.002131,-0.005377,0.003261,0.000691
"2008-04-21",0.001853,0.00027,-0.002709,-0.002247,0.001772,-0.000199,0.003543,-0.000173,-0.001814
"2008-04-22",0.006107,-0.000066,0.006536,-0.001221,0.000395,0.000465,-0.000111,-0.001357,-0.001337
"2008-04-23",0.050498,0.005426,0.000067,-0.001278,-0.000712,0.003355,-0.001172,0.001233,-0.002358
"2008-04-24",0.095495,0.00199,0.000163,-0.000965,0.00051,0.001002,0.000883,-0.000268,-0.000369
"2008-04-25",0.005025,0.012681,0.002812,-0.003012,0.001081,0.004789,-0.001943,-0.001167,-0.000816
"2008-04-28",-0.016334,0.001838,-0.003642,0.003308,0.000203,-0.001678,0.006629,0.000403,-0.002142
"2008-04-29",0.015047,0.000482,-0.000854,0.000739,0.001615,0.001398,-0.002141,0.001587,-0.000067
"2008-04-30",0.045888,0.002603,0.004324,-0.003265,-0.000778,0.002924,-0.001649,0.000074,0.000085
"2008-05-05",0.025538,0.000703,-0.001837,-0.002642,-0.000751,0.004911,0.001194,0.003118,-0.000587
"2008-05-06",-0.007932,-0.000294,-0.002554,0.004391,-0.000086,0.003279,-0.001771,-0.001021,0.000393
"2008-05-07",-0.045973,-0.006321,-0.003492,0.000424,-0.003009,0.000047,-0.000355,-0.002698,0.001891
"2008-05-08",0.0293,0.00088,-0.000943,-0.000217,-0.002436,-0.0018,0.002753,0.000628,-0.000305
"2008-05-09",-0.009621,0.000116,-0.002097,0.000391,0.000229,0.00168,0.000047,0.002152,-0.001065
"2008-05-12",0.011982,0.00373,-0.005081,0.000958,0.001675,0.001547,-0.00037,0.001766,-0.003047
"2008-05-13",-0.009319,0.000985,-0.00796,-0.000349,0.00071,0.000608,-0.007406,-0.002754,-0.001852
"2008-05-14",0.031659,0.002369,0.000299,-0.002142,0.00295,0.003261,-0.000361,0.000471,0.000851
"2008-05-15",-0.007312,-0.000036,0.00105,0.000001,0.001733,0.001195,-0.002565,0.00015,0.000993
"2008-05-16",-0.004855,0.00279,0.001852,0.002099,-0.000044,0.000296,-0.000243,0.00098,0.00011
"2008-05-19",-0.004348,-0.000973,-0.003198,-0.00064,-0.000822,-0.001283,0.000493,0.001256,-0.001371
"2008-05-20",-0.05677,-0.00012,0.002095,0.000766,0.001265,0.001822,-0.003955,0.003023,0.000982
"2008-05-21",0.02165,0.000833,-0.000308,0.001074,0.002621,0.000906,0.001862,0.002521,0.003621
"2008-05-22",-0.01848,-0.002451,-0.005716,-0.001956,-0.000978,0.000343,-0.001776,-0.001368,-0.00004
"2008-05-23",-0.008596,-0.001481,-0.001357,0.000369,0.003274,-0.001678,-0.002346,-0.000469,0.00162
"2008-05-26",-0.032534,-0.005105,0.001239,-0.000729,-0.000193,-0.002897,0.000136,-0.001314,-0.000631
"2008-05-27",0.006619,0.002953,-0.002012,0.00052,0.000769,-0.00187,0.0003,0.000858,-0.000711
"2008-05-28",0.0298,0.004079,0.00057,0.000457,-0.001416,0.001223,0.001839,-0.00273,-0.001025
"2008-05-29",-0.026108,-0.003273,0.000658,-0.001414,-0.00085,0.000201,-0.002775,-0.002342,0.000281
"2008-05-30",0.010552,0.004496,0.001822,0.000031,0.001309,-0.000951,-0.002112,-0.000461,-0.001044
"2008-06-02",0.006301,0.000796,0.000054,-0.002322,0.000627,0.001953,-0.000266,-0.000043,0.000918
"2008-06-03",-0.004655,0.000733,-0.000358,0.000862,-0.000649,0.001276,-0.000662,-0.000676,0.000886
"2008-06-04",-0.016347,-0.001462,0.000116,-0.001538,-0.002403,0.000355,-0.001095,-0.001183,-0.000784
"2008-06-05",-0.009237,0.000089,-0.002912,-0.000464,0.00126,-0.000613,-0.001521,0.000911,-0.000518
"2008-06-06",-0.005058,-0.000522,-0.003886,0.00046,0.001595,-0.001949,-0.000618,0.001269,-0.001138
"2008-06-10",-0.084423,-0.003234,0.003031,0.003144,-0.001869,-0.000014,-0.002773,0.000466,-0.000996
"2008-06-11",-0.019452,-0.005376,0.003774,0.003325,-0.001977,-0.007033,0.003233,-0.001421,-0.001022
"2008-06-12",-0.016886,0.00017,-0.004185,-0.001442,0.000037,0.002495,0.002151,0.000122,-0.000143
"2008-06-13",-0.035487,-0.003568,-0.001263,0.000662,-0.000236,-0.004906,-0.008381,0.000947,-0.000546
"2008-06-16",-0.011646,-0.001159,0.001362,-0.003169,-0.000794,-0.00377,-0.000309,0.000829,0.001931
"2008-06-17",-0.042435,-0.006717,0.002337,0.000191,-0.002552,0.000377,-0.003472,0.00175,-0.001058
"2008-06-18",0.055685,0.006024,0.001149,0.00258,0.002395,0.00048,0.004693,0.001375,-0.000507
"2008-06-19",-0.078073,-0.003764,0.004332,0.001862,-0.001942,-0.000255,-0.001565,0.001109,0.000693
"2008-06-20",0.030589,0.004066,0.008825,0.003585,0.006483,-0.000919,0.000231,0.002325,-0.000426
"2008-06-23",-0.020167,0.001531,0.00439,0.001764,0.00599,0.000208,-0.002117,0.001073,0.002302
"2008-06-24",0.027414,0.004261,-0.001145,0.002868,0.002091,-0.000212,0.001089,0.001512,-0.000159
"2008-06-25",0.047476,0.003444,-0.002147,-0.00045,0.000664,0.003225,0.000219,-0.000344,-0.000628
"2008-06-26",0.006263,0.001785,-0.004582,-0.000853,-0.002041,0.003802,-0.001692,-0.00027,-0.000912
"2008-06-27",-0.062657,-0.004696,0.004758,0.001501,-0.001291,-0.002447,-0.002127,0.002971,0.002528
"2008-06-30",-0.001456,-0.00231,0.000558,-0.001916,0.001822,-0.00198,0.004925,0.000996,-0.000007
"2008-07-01",-0.027979,-0.002025,-0.001249,0.00227,0.00144,-0.003245,0.002735,0.002182,0.000212
"2008-07-02",0.007876,0.002042,-0.002018,-0.000579,0.000988,0.000542,0.003575,0.002175,0.000006
"2008-07-03",0.030832,0.003923,-0.001195,0.000237,-0.000177,0.000672,0.004082,0.001657,-0.001018
"2008-07-04",-0.003841,0.002656,-0.001347,-0.001043,-0.000193,0.001048,-0.002123,-0.000555,-0.001224
"2008-07-07",0.0541,0.004616,-0.002555,-0.001439,0.000232,0.001715,-0.001347,0.000239,-0.000768
"2008-07-08",0.008524,0.002336,-0.003491,-0.003107,-0.001753,0.004957,0.000473,-0.00091,-0.000119
"2008-07-09",0.036394,0.001437,-0.000537,-0.003221,-0.000094,0.003116,-0.003121,-0.002096,0.000248
"2008-07-10",-0.014691,-0.002749,-0.00104,-0.000882,-0.001123,-0.000666,-0.005911,-0.000091,-0.000302
"2008-07-11",-0.00723,-0.002496,0.000312,0.0029,-0.002087,-0.001066,0.004147,-0.001144,0.00212
"2008-07-14",0.012131,0.000435,-0.00589,-0.00165,-0.000537,0.001518,0.003065,-0.001692,0.000087
"2008-07-15",-0.038226,-0.001056,-0.003997,0.001812,0.001411,-0.000693,0.00125,0.001836,0.00297
"2008-07-16",-0.04053,-0.007392,0.002665,0.003154,0.000169,-0.005142,-0.000748,0.00063,-0.000089
"2008-07-17",-0.009225,-0.000902,-0.000798,0.00004,-0.000527,-0.002924,-0.004881,-0.002055,-0.000115
"2008-07-18",0.035417,0.00635,0.00142,-0.000791,0.001502,0.001457,0.000678,0.000273,0.001194
"2008-07-21",0.035705,0.001998,-0.000565,-0.003321,0.000359,0.003666,0.000131,0.0009,-0.000647
"2008-07-22",-0.000418,0.000641,-0.002615,-0.001208,-0.000647,0.000687,-0.001029,-0.002082,-0.001722
"2008-07-23",-0.007694,0.00053,-0.000334,-0.002112,0.000572,0.00088,-0.000884,-0.000465,0.000465
"2008-07-24",0.029594,0.001739,-0.000578,-0.001796,-0.000508,0.001562,0.000266,-0.001484,-0.000741
"2008-07-25",-0.011985,-0.000627,-0.003008,0.000314,-0.00061,0.001167,-0.002718,0.000708,-0.000626
"2008-07-28",0.011491,0.002887,-0.00275,-0.00138,-0.00013,0.001399,-0.002437,-0.000601,0.000714
"2008-07-29",-0.019767,-0.001413,-0.001436,0.000933,0.00019,0.001339,-0.003045,-0.000287,0.000559
"2008-07-30",-0.00559,0.000043,-0.001678,-0.00283,0.001412,-0.001152,-0.000665,0.001764,0.000594
"2008-07-31",-0.030105,-0.002298,0.001316,0.000442,-0.002268,-0.002062,-0.001633,0.000174,-0.001983
"2008-08-01",0.014882,0.002793,-0.001799,-0.000937,0.001966,0.000583,0.001939,0.001347,0.000048
"2008-08-04",-0.024663,-0.0033,-0.000105,-0.000113,-0.001051,-0.001113,-0.003378,-0.001605,-0.000084
"2008-08-05",-0.025688,-0.002041,-0.001029,-0.004722,0.000084,-0.002341,-0.003571,0.000265,-0.000708
"2008-08-06",0.004262,0.001203,-0.001772,-0.003376,0.001398,0.000548,0.000517,0.001907,-0.002028
"2008-08-07",0.000845,0.000715,-0.000475,-0.002472,0.001426,0.001464,0.000333,0.00062,0.00114
"2008-08-08",-0.054776,-0.005527,0.006235,0.003304,-0.002905,-0.000163,-0.008958,-0.000065,0.000035
"2008-08-11",-0.05986,-0.006338,0.0086,0.001408,-0.003306,0.000352,-0.00665,-0.000848,-0.000419
"2008-08-12",-0.006884,-0.003678,0.005109,0.001433,0.002023,-0.006076,-0.005544,-0.001166,0.001118
"2008-08-13",0.000438,-0.000716,0.001088,0.002738,0.001054,-0.001096,0.000108,0.00207,-0.003255
"2008-08-14",0.001254,-0.001544,-0.001627,0.000544,-0.000847,0.000308,0.001854,-0.000065,-0.001656
"2008-08-15",0.000438,-0.002568,-0.002687,-0.003132,-0.000615,-0.00079,-0.000297,-0.000689,-0.00081
"2008-08-18",-0.061274,-0.007962,0.005472,-0.001543,-0.001888,-0.003502,-0.00356,0.002285,-0.000685
"2008-08-19",0.014284,-0.000941,-0.001942,-0.003134,0.002266,0.00105,0.002994,0.001603,-0.002119
"2008-08-20",0.080166,0.005522,-0.00176,-0.000029,0.000754,0.001533,0.002078,-0.001891,-0.000878
"2008-08-21",-0.035566,0.003518,0.000507,-0.001672,-0.000174,0.001999,-0.001577,0.00016,-0.001396
"2008-08-22",-0.01629,0.002175,0.000247,-0.001296,0.000452,0.000756,-0.003247,-0.000164,-0.000139
"2008-08-25",-0.002271,-0.001728,-0.00314,0.0002,0.000256,-0.003203,0.001409,-0.002283,0.000302
"2008-08-26",-0.034767,-0.006704,0.003073,0.000582,0.000597,-0.004089,-0.002701,0.000911,0.002807
"2008-08-27",-0.003006,0.004156,-0.004447,-0.002483,0.004999,0.002139,0.002448,-0.000231,0.001389
"2008-08-28",0.002766,0.002164,-0.001878,-0.00061,0.002987,0.00057,-0.000059,0.001038,-0.000005
"2008-08-29",0.026831,0.003879,-0.000435,-0.002034,0.000812,0.000358,0.002167,0.001048,-0.001428
"2008-09-01",-0.033752,-0.002719,-0.000556,-0.003414,-0.00021,-0.001939,-0.000153,0.000947,0.001065
"2008-09-02",-0.004856,0.002178,-0.005978,-0.003414,0.004206,-0.00017,-0.001204,-0.003262,-0.000809
"2008-09-03",-0.015375,0.003859,-0.003658,-0.004244,0.003986,-0.001243,-0.000646,-0.001746,0.00088
"2008-09-04",0.003702,0.001021,-0.001173,-0.00014,0.000582,0.000984,0.001369,0.001163,-0.001757
"2008-09-05",-0.035886,-0.003965,0.006323,0.001052,-0.002524,-0.000502,-0.004476,0.000966,-0.001614
"2008-09-08",-0.031561,-0.006637,0.004591,-0.002432,-0.001179,-0.000915,-0.003834,0.002125,0.000452
"2008-09-09",0.007323,0.002454,-0.001076,-0.002484,0.001596,-0.000121,0.001527,0.000103,-0.000947
"2008-09-10",0.00573,0.003811,0.000085,-0.0004,0.000903,0.00156,-0.000177,0.00076,0.000322
"2008-09-11",-0.026494,-0.000348,0.000159,0.002642,0.003103,0.001397,-0.002607,0.002099,-0.001848
"2008-09-12",0.002118,0.000292,-0.000406,-0.0016,0.001444,-0.002808,-0.00066,-0.000003,0.000201
"2008-09-16",-0.030054,-0.000884,0.003871,0.003509,0.001872,-0.000107,-0.0031,0.001837,-0.000619
"2008-09-17",-0.027999,-0.001748,-0.000837,0.003732,0.000004,-0.000958,0.003191,0.002523,-0.002675
"2008-09-18",-0.021061,-0.002701,0.00206,0.003901,-0.000596,0.000973,0.003478,0.001274,-0.000889
"2008-09-19",0.099967,0.000032,-0.000029,0.000047,0.000067,0.000034,-0.000028,-0.000002,-0.000035
"2008-09-22",0.060536,0.012071,0.004993,0.000433,-0.000371,0.002736,0.002001,-0.004742,0.000071
"2008-09-23",-0.045907,0.004069,0.010761,0.000618,-0.002817,0.002455,-0.000966,-0.00068,0.002137
"2008-09-24",0.010916,0.002868,-0.001007,0.001978,-0.000593,0.005743,0.002828,-0.002836,-0.000017
"2008-09-25",0.037963,0.003811,0.004146,-0.00021,0.002726,0.001614,-0.00188,0.001594,-0.000897
"2008-09-26",0.010049,0.001236,0.004155,0.000912,-0.000509,0.000404,-0.004608,0.001763,-0.0008
"2008-10-06",-0.049574,-0.001921,-0.002049,0.004554,0.002909,-0.002615,0.00352,0.000112,-0.000252
"2008-10-07",-0.004884,-0.002426,-0.0012,0.000822,0.002481,0.002862,0.000096,0.001462,-0.000353
"2008-10-08",-0.035805,-0.005112,-0.003459,-0.001174,-0.00121,-0.002885,0.000372,-0.000522,0.002245
"2008-10-09",-0.014148,0.000299,-0.002508,0.001728,0.001835,-0.002342,-0.001947,-0.000481,0.000632
"2008-10-10",-0.050729,-0.005971,0.009014,-0.00154,0.001035,-0.003738,-0.002518,0.002876,0.00108
"2008-10-13",0.038478,0.006208,0.003724,0.001643,0.001815,0.002212,0.002351,-0.001994,-0.000299
"2008-10-14",-0.028256,-0.005679,0.000846,-0.003079,-0.000877,-0.000939,-0.003555,-0.000896,0.000944
"2008-10-15",-0.009079,0.000504,-0.004129,0.000307,0.001487,-0.001354,0.000827,-0.000113,0.00075
"2008-10-16",-0.051441,-0.007135,0.000837,0.000272,0.000056,-0.003021,-0.000635,-0.000367,0.001495
"2008-10-17",0.00908,0.003163,-0.004397,0.001093,0.001375,0.000208,0.000459,-0.002158,-0.000131
"2008-10-20",0.034471,0.006526,-0.000593,0.00147,0.001082,0.003916,0.001397,-0.000402,-0.000172
"2008-10-21",-0.006747,-0.000091,-0.00302,-0.001498,-0.001046,0.001103,-0.002024,0.000989,0.001006
"2008-10-22",-0.023105,-0.001224,-0.003993,-0.000342,-0.000864,-0.00201,-0.004413,-0.00059,0.000427
"2008-10-23",0.002842,0.00165,-0.000591,0.001493,0.001425,0.003408,0.001205,0.001523,0.000171
"2008-10-24",-0.02456,-0.002522,-0.003845,-0.001284,0.002221,-0.004389,0.002181,0.001808,-0.001072
"2008-10-27",-0.07808,-0.007557,-0.000156,-0.001279,-0.000318,-0.00477,0.002988,0.003869,-0.000551
"2008-10-28",0.031593,0.003565,-0.001046,-0.001056,0.001582,-0.00016,0.003619,0.002022,-0.001062
"2008-10-29",-0.032464,-0.006876,-0.002933,-0.005721,-0.00016,-0.006036,-0.00407,0.002662,-0.00101
"2008-10-30",0.022077,0.001785,0.001541,-0.002021,0.000133,0.001351,-0.000686,-0.000777,-0.002005
"2008-10-31",-0.017637,0.000548,-0.000377,0.001657,0.00091,0.001994,-0.003463,0.000676,-0.000647
"2008-11-03",-0.008018,-0.004357,0.000851,-0.004736,-0.001235,0.001668,-0.000125,-0.000042,0.001321
"2008-11-04",-0.015549,-0.003221,-0.000193,-0.002836,-0.001881,-0.001959,0.000359,-0.000638,0.00303
"2008-11-05",0.036881,0.002727,-0.001625,-0.001837,0.002877,0.002002,-0.000041,-0.000343,-0.000061
"2008-11-06",-0.023793,0.000287,-0.003725,-0.001666,0.001015,-0.002811,0.001342,-0.001042,0.001628
"2008-11-07",0.016056,0.003261,-0.003111,-0.001342,0.001298,0.001714,-0.000205,-0.003226,0.000712
"2008-11-10",0.076577,0.007217,0.001014,-0.000299,0.001062,0.003269,-0.000089,-0.000757,-0.000948
"2008-11-11",-0.010797,0.002509,-0.000111,0.000301,-0.000074,0.006566,-0.004495,-0.000972,0.000798
"2008-11-12",0.01546,0.00568,-0.005646,-0.002337,0.001723,0.00283,0.000487,-0.000527,-0.000307
"2008-11-13",0.044374,0.002018,-0.000106,-0.00211,-0.000007,0.00033,-0.000093,-0.000941,-0.001751
"2008-11-14",0.042512,0.002447,-0.00112,-0.001915,-0.001327,0.00386,0.000938,0.001141,-0.001591
"2008-11-17",0.030255,0.00248,-0.001836,-0.006039,0.000077,-0.001522,0.001488,-0.001952,0.00106
"2008-11-18",-0.077719,-0.004755,0.001368,0.000337,-0.001626,-0.001374,0.000332,-0.002535,0.002953
"2008-11-19",0.066886,0.00559,-0.000931,0.000159,0.002202,0.00149,-0.00101,0.002925,0.000501
"2008-11-20",-0.005479,0.005104,-0.001692,0.002498,0.002557,0.005484,-0.005927,0.001861,0.003356
"2008-11-21",-0.005955,0.001363,0.003485,0.001986,-0.001743,0.001779,-0.002657,-0.000371,0.003083
"2008-11-24",-0.042578,-0.006011,-0.002697,0.003119,0.000373,-0.003138,-0.000024,0.000712,-0.000271
"2008-11-25",-0.004852,0.000337,-0.002683,0.001189,-0.000385,-0.003144,0.000925,0.001635,0.000173
"2008-11-26",0.006178,0.001978,-0.001002,0.001146,0.00175,0.000481,-0.002856,0.000238,0.00077
"2008-11-27",0.016581,0.001238,0.001739,-0.002788,0.000452,0.001592,-0.003668,0.001612,0.000068
"2008-11-28",-0.019547,0.000373,-0.001092,-0.001202,-0.002857,-0.000928,0.000746,-0.000493,-0.001891
"2008-12-01",0.024677,0.002851,-0.006654,-0.004072,-0.003008,0.00151,0.00461,-0.000675,-0.000313
"2008-12-02",0.006707,0.000972,-0.003463,-0.002887,0.002333,-0.001074,-0.000176,0.002301,-0.000682
"2008-12-03",0.044448,0.00156,-0.000586,-0.001881,0.000134,0.002779,0.000343,-0.00053,-0.00125
"2008-12-04",0.012964,0.002083,0.00225,0.001288,0.000533,0.00326,-0.003664,0.001552,0.001028
"2008-12-05",0.016847,0.003013,-0.006841,-0.001746,0.00005,0.00152,0.001563,-0.00154,-0.000089
"2008-12-08",0.042063,0.000975,-0.002073,-0.00362,0.000491,0.003047,0.000942,-0.000417,0.000392
"2008-12-09",-0.025327,-0.001332,0.00089,-0.00203,-0.003395,0.001616,-0.001023,-0.000156,-0.000883
"2008-12-10",0.028799,0.001891,-0.005546,-0.001505,0.00082,0.001071,-0.000434,-0.000524,-0.000855
"2008-12-11",-0.026107,-0.002376,0.002362,0.000764,-0.000075,0.000582,-0.003058,-0.000276,0.001945
"2008-12-12",-0.041655,-0.001676,0.002605,0.003825,-0.00059,-0.003425,-0.002843,0.001254,0.003109
"2008-12-15",0.010884,0.001082,-0.003848,0.000147,0.000626,0.000214,0.001097,0.000325,-0.000219
"2008-12-16",0.011933,0.000113,-0.003381,-0.000104,0.000994,0.002073,0.000876,0.002238,-0.002365
"2008-12-17",0.006821,0.000447,-0.003103,-0.002248,0.000871,0.002688,-0.004333,0.002167,0.001658
"2008-12-18",0.020557,0.000687,-0.001294,-0.002987,0.00007,0.000402,-0.00154,0.000526,0.000277
"2008-12-19",0.006358,-0.000249,-0.001019,0.000618,0.001375,0.001156,-0.00148,0.001665,-0.001864
"2008-12-22",-0.010703,-0.000697,-0.009571,-0.002774,-0.001301,-0.000974,0.000761,0.00293,-0.002092
"2008-12-23",-0.05456,-0.005676,0.001358,-0.00034,-0.0036,-0.00206,-0.002565,-0.002486,0.00051
"2008-12-24",-0.017018,-0.001105,0.000587,-0.000483,-0.001174,-0.001652,-0.001677,0.001694,0.000559
